date,product_name,quantity,price
2020-12-09,Widget C,69,1.82
2022-07-12,Widget C,82,1.42
2020-08-12,Widget C,1,1.69
2022-12-15,Widget B,72,3.42
2021-07-16,Widget C,21,1.02
2022-02-01,Widget B,26,2.96
2021-05-18,Widget A,19,1.55
2022-06-10,Widget B,26,3.1
2021-09-22,Widget B,9,3.4
2021-03-10,Widget C,36,1.16
2022-12-18,Widget C,80,1.34
2022-02-18,Widget B,89,2.62
2022-01-14,Widget B,70,3.05
2020-08-05,Widget B,11,3.34
2022-12-17,Widget A,4,2.32
2021-08-15,Widget A,35,1.93
2020-12-06,Widget A,43,1.89
2020-03-16,Widget B,49,2.69
2021-01-09,Widget C,69,1.96
2021-05-28,Widget C,67,1.82
2022-10-14,Widget C,68,1.92
2021-01-03,Widget B,34,3.27
2022-02-09,Widget A,10,1.51
2022-09-24,Widget C,1,1.31
2020-03-08,Widget B,5,3.04
2022-02-06,Widget C,39,1.93
2022-05-25,Widget A,60,2.18
2020-12-28,Widget A,60,2.01
2020-03-09,Widget A,12,2.25
2022-07-25,Widget C,74,1.95
2021-05-06,Widget B,15,3.23
2020-07-20,Widget B,21,3.26
2022-02-06,Widget A,50,1.72
2022-05-02,Widget C,31,1.16
2021-09-16,Widget A,37,2.23
2022-05-22,Widget A,95,2.1
2021-02-09,Widget A,5,2.23
2021-06-08,Widget B,46,3.3
2020-08-01,Widget B,99,3.18
2022-05-16,Widget A,37,1.57
2022-08-20,Widget A,44,1.62
2022-09-20,Widget B,7,2.61
2020-07-09,Widget C,88,1.75
2022-02-14,Widget B,97,2.9
2020-02-24,Widget B,31,3.05
2021-02-14,Widget A,76,1.85
2020-08-13,Widget C,25,1.97
2022-09-04,Widget C,16,1.56
2021-02-09,Widget B,39,3.05
2020-01-29,Widget A,24,2.01
2020-07-06,Widget C,54,1.55
2021-10-19,Widget B,86,2.89
2022-07-04,Widget B,19,3.01
2020-09-24,Widget B,36,3.47
2022-11-03,Widget A,35,2.12
2021-01-21,Widget C,94,1.8
2020-07-18,Widget B,99,3.23
2020-02-14,Widget A,15,2.32
2020-04-24,Widget A,74,2.0
2022-02-01,Widget A,55,1.76
2020-07-09,Widget C,3,1.95
2021-03-21,Widget A,42,1.87
2021-02-19,Widget A,42,2.2
2022-02-03,Widget B,78,2.62
2021-01-26,Widget C,48,1.76
2020-03-20,Widget C,88,1.59
2022-10-11,Widget B,20,2.71
2022-07-15,Widget B,67,2.89
2020-10-13,Widget B,62,3.27
2022-10-18,Widget A,66,2.1
2021-12-19,Widget C,46,1.33
2021-12-11,Widget C,90,1.17
2021-01-18,Widget B,45,2.59
2022-03-07,Widget C,31,1.4
2022-06-12,Widget B,64,2.99
2021-10-02,Widget B,89,2.78
2022-02-10,Widget B,73,3.05
2021-09-13,Widget C,53,1.19
2020-11-30,Widget A,15,1.71
2021-05-25,Widget A,15,1.64
2020-02-02,Widget B,69,2.64
2022-04-11,Widget B,33,2.73
2022-06-27,Widget A,21,1.95
2022-11-16,Widget C,29,1.56
2021-01-05,Widget B,58,3.23
2022-08-17,Widget B,15,3.49
2021-09-09,Widget C,43,1.4
2020-10-12,Widget A,4,2.17
2021-09-15,Widget C,40,1.25
2022-08-18,Widget A,51,2.3
2022-12-07,Widget A,49,2.22
2021-01-18,Widget C,72,1.56
2021-10-13,Widget A,37,1.97
2021-07-12,Widget A,62,2.16
2021-08-04,Widget C,56,1.13
2022-11-12,Widget B,34,3.45
2020-04-02,Widget A,75,1.53
2021-07-09,Widget A,1,2.13
2020-02-08,Widget A,74,1.67
2022-06-18,Widget A,71,2.35
2022-03-08,Widget A,27,2.44
2020-09-17,Widget A,41,1.64
2020-06-22,Widget A,18,1.72
2022-02-08,Widget B,64,3.14
2021-08-18,Widget B,61,2.6
2022-02-22,Widget C,98,1.58
2022-06-27,Widget C,43,1.92
2021-09-02,Widget C,58,1.78
2021-05-13,Widget C,21,1.1
2022-08-12,Widget C,58,1.37
2021-02-08,Widget B,34,3.4
2021-10-30,Widget C,5,1.31
2020-12-07,Widget A,55,2.23
2022-01-04,Widget A,29,1.74
2022-12-04,Widget A,43,1.56
2021-03-22,Widget A,7,1.67
2020-11-23,Widget A,4,2.09
2021-05-10,Widget C,32,1.39
2022-06-24,Widget B,13,3.24
2021-04-13,Widget C,9,1.99
2022-08-06,Widget B,15,3.08
2022-12-10,Widget B,3,3.48
2020-10-27,Widget B,16,3.42
2022-08-18,Widget B,40,3.17
2021-03-29,Widget B,32,3.14
2020-11-13,Widget A,48,1.51
2020-07-15,Widget B,91,3.17
2020-05-03,Widget A,31,1.87
2020-06-30,Widget A,23,2.0
2021-09-26,Widget C,68,1.68
2021-12-08,Widget B,19,3.47
2020-07-25,Widget C,6,1.52
2020-09-08,Widget C,94,1.96
2020-06-28,Widget B,69,2.77
2020-04-09,Widget A,83,1.74
2021-01-07,Widget A,78,1.83
2020-08-01,Widget A,20,2.03
2022-02-28,Widget A,71,1.78
2020-10-25,Widget B,4,2.56
2022-12-25,Widget C,92,1.16
2022-03-10,Widget C,18,1.63
2022-04-27,Widget B,22,2.67
2020-02-09,Widget B,19,3.05
2022-01-04,Widget A,79,2.13
2022-07-13,Widget A,7,2.02
2021-08-14,Widget C,63,1.15
2022-05-14,Widget A,22,1.63
2022-08-03,Widget C,47,1.27
2022-03-21,Widget B,51,3.15
2020-11-08,Widget A,58,2.29
2020-07-13,Widget B,85,2.55
2021-07-10,Widget A,80,1.96
2021-07-11,Widget B,18,2.52
2022-01-28,Widget C,76,1.13
2021-11-06,Widget A,54,1.56
2022-01-27,Widget C,8,1.62
2022-11-02,Widget B,77,3.08
2021-05-02,Widget B,61,3.44
2021-05-23,Widget A,86,2.37
2020-04-18,Widget A,85,2.18
2022-07-24,Widget B,87,2.91
2021-04-10,Widget B,43,2.94
2020-04-12,Widget C,34,1.57
2020-07-08,Widget B,55,3.02
2021-06-19,Widget C,21,1.15
2021-11-28,Widget A,17,1.77
2020-10-01,Widget C,89,1.88
2021-07-30,Widget A,28,2.02
2021-01-16,Widget A,29,2.2
2021-09-06,Widget B,79,3.03
2021-03-26,Widget C,86,1.78
2022-05-28,Widget C,64,1.01
2021-07-24,Widget A,14,1.74
2020-02-02,Widget A,95,1.87
2021-01-11,Widget C,4,1.59
2020-08-01,Widget A,92,2.03
2022-05-11,Widget C,28,1.35
2022-06-10,Widget C,69,1.98
2022-02-13,Widget C,19,1.26
2021-06-18,Widget A,71,1.76
2020-01-27,Widget B,93,2.83
2022-11-16,Widget A,13,1.93
2021-02-10,Widget B,29,2.67
2021-05-17,Widget C,54,1.27
2020-09-22,Widget B,94,2.98
2021-07-06,Widget A,84,1.91
2020-09-09,Widget A,99,2.25
2022-05-14,Widget B,28,2.91
2022-11-06,Widget B,38,2.63
2022-02-06,Widget B,26,2.82
2020-09-04,Widget B,90,2.69
2022-01-17,Widget A,54,1.87
2022-12-28,Widget B,67,3.0
2021-09-03,Widget B,12,3.01
2020-05-30,Widget A,80,2.0
2021-08-18,Widget B,64,3.34
2021-06-15,Widget B,39,2.68
2020-11-01,Widget B,3,2.95
2022-12-18,Widget A,78,1.7
2021-09-24,Widget B,65,3.48
2020-11-17,Widget C,96,1.99
2020-01-30,Widget A,61,1.56
2020-06-17,Widget C,11,1.05
2020-09-03,Widget B,80,3.17
2021-12-27,Widget A,99,1.77
2020-02-27,Widget A,84,2.34
2022-04-19,Widget A,84,2.31
2022-06-12,Widget B,45,2.68
2022-05-02,Widget C,84,1.43
2021-06-27,Widget B,38,2.7
2020-12-10,Widget B,85,3.27
2021-04-26,Widget A,16,1.74
2021-05-30,Widget A,18,1.56
2020-01-11,Widget A,20,2.18
2020-05-02,Widget A,86,1.82
2020-05-02,Widget B,35,2.74
2021-03-17,Widget A,3,1.52
2022-11-07,Widget A,92,1.93
2020-06-04,Widget A,7,2.32
2021-03-01,Widget A,49,2.44
2022-06-11,Widget A,15,2.29
2020-01-30,Widget A,45,2.05
2022-12-24,Widget C,70,1.49
2020-03-25,Widget A,37,1.76
2021-08-06,Widget B,27,3.41
2021-08-31,Widget B,20,3.1
2020-02-19,Widget C,38,1.42
2020-01-21,Widget C,15,1.1
2020-03-21,Widget B,97,3.16
2022-09-23,Widget B,78,3.02
2020-03-09,Widget A,47,1.98
2022-03-10,Widget B,47,3.25
2020-03-07,Widget B,21,2.84
2020-08-25,Widget B,21,3.5
2021-12-23,Widget B,70,3.19
2022-01-10,Widget B,16,3.34
2020-08-10,Widget A,22,1.64
2022-02-18,Widget B,95,2.56
2022-11-14,Widget B,70,3.06
2020-04-29,Widget C,36,1.34
2022-08-25,Widget A,87,1.72
2020-07-02,Widget B,22,2.68
2020-06-22,Widget A,13,2.43
2021-09-08,Widget A,37,2.1
